"Statecode","Statename","Countyname","Countycode","TotalPop","taxdividend_PredPop","taxdividend","taxdividendOppose_PredPop","taxdividendOppose","CO2limits_PredPop","CO2limits","CO2limitsOppose_PredPop","CO2limitsOppose","regulate_PredPop","regulate","regulateOppose_PredPop","regulateOppose","supportRPS_PredPop","supportRPS","supportRPSOppose_PredPop","supportRPSOppose","fundrenewables_PredPop","fundrenewables","fundrenewablesOppose_PredPop","fundrenewablesOppose","happening_PredPop","happening","happeningOppose_PredPop","happeningOppose","human_PredPop","human","humanOppose_PredPop","humanOppose","consensus_PredPop","consensus","consensusOppose_PredPop","consensusOppose","worried_PredPop","worried","worriedOppose_PredPop","worriedOppose","personal_PredPop","personal","personalOppose_PredPop","personalOppose","harmUS_PredPop","harmUS","harmUSOppose_PredPop","harmUSOppose","devharm_PredPop","devharm","devharmOppose_PredPop","devharmOppose","futuregen_PredPop","futuregen","futuregenOppose_PredPop","futuregenOppose","timing_PredPop","timing","timingOppose_PredPop","timingOppose"
"CO","Colorado","Ouray County, Colorado",8091,3581,1726,48,913,25,2388,67,1189,33,2621,73,951,27,2152,60,1451,41,2840,79,683,19,2402,67,569,16,1705,48,1236,35,1704,48,1163,32,1933,54,1653,46,1172,33,2115,59,1801,50,1508,42,1915,53,1322,37,2271,63,951,27,1511,42,2034,57
"CO","Colorado","Park County, Colorado",8093,12296,5290,43,3666,30,8978,73,3165,26,9703,79,2473,20,8213,67,3963,32,10029,82,2035,17,8466,69,1927,16,6715,55,3673,30,6125,50,3922,32,7141,58,5144,42,4399,36,6920,56,6721,55,4628,38,7096,58,4017,33,8111,66,2797,23,5564,45,6670,54
"CO","Colorado","Phillips County, Colorado",8095,2810,1334,47,646,23,1912,68,873,31,2112,75,676,24,1712,61,1074,38,2195,78,550,20,1851,66,434,15,1390,49,938,33,1248,44,877,31,1563,56,1247,44,1001,36,1499,53,1471,52,1047,37,1515,54,939,33,1768,63,678,24,1234,44,1547,55
"CO","Colorado","Pitkin County, Colorado",8097,13103,6504,50,3281,25,8476,65,4622,35,9312,71,3773,29,7645,58,5597,43,10302,79,2614,20,8731,67,2157,16,6012,46,4655,36,6162,47,4340,33,6903,53,6224,48,4226,32,7865,60,6448,49,5717,44,6897,53,5036,38,8236,63,3644,28,5363,41,7622,58
"CO","Colorado","Prowers County, Colorado",8099,7905,3527,45,1992,25,5789,73,1996,25,6265,79,1524,19,5246,66,2496,32,6307,80,1376,17,5476,69,1084,14,4445,56,2246,28,3816,48,2257,29,4864,62,3022,38,3224,41,3811,48,4564,58,2504,32,4689,59,2207,28,5231,66,1583,20,3828,48,4011,51
"CO","Colorado","Pueblo County, Colorado",8101,105306,47874,45,24387,23,69314,66,33598,32,79828,76,24313,23,65018,62,38610,37,80744,77,22739,22,67646,64,17534,17,56256,53,33287,32,42505,40,35128,33,58192,55,46902,45,40002,38,52990,50,56493,54,36362,35,57649,55,33707,32,66423,63,24358,23,46630,44,58143,55
"CO","Colorado","Rio Blanco County, Colorado",8103,4400,2029,46,988,22,2361,54,2060,47,2987,68,1434,33,2369,54,2048,47,3192,73,1133,26,2637,60,793,18,1832,42,1639,37,1745,40,1375,31,2262,51,2132,48,1491,34,2370,54,2141,49,1798,41,2178,50,1675,38,2631,60,1247,28,1801,41,2492,57
"CO","Colorado","Rio Grande County, Colorado",8105,7955,3776,47,1791,23,5458,69,2368,30,6040,76,1804,23,4937,62,2877,36,6181,78,1583,20,5294,67,1211,15,4058,51,2585,32,3485,44,2460,31,4567,57,3377,42,3073,39,3970,50,4340,55,2715,34,4442,56,2454,31,5029,63,1756,22,3553,45,4346,55
"CO","Colorado","Routt County, Colorado",8107,16415,6977,43,4576,28,9122,56,7375,45,11580,71,4893,30,9560,58,6944,42,12382,75,3858,24,10462,64,2829,17,7516,46,5645,34,7366,45,5023,31,8984,55,7396,45,5750,35,9014,55,8365,51,6642,40,8734,53,5999,37,10261,63,4514,27,7013,43,9021,55
"CO","Colorado","Saguache County, Colorado",8109,4260,2032,48,1003,24,3130,73,1084,25,3311,78,888,21,2759,65,1426,33,3383,79,741,17,3027,71,518,12,2383,56,1203,28,2159,51,1118,26,2688,63,1566,37,1784,42,2006,47,2480,58,1326,31,2563,60,1142,27,2835,67,849,20,2113,50,2099,49
"CO","Colorado","San Juan County, Colorado",8111,580,284,49,131,23,351,61,228,39,405,70,174,30,326,56,256,44,440,76,130,22,372,64,97,17,259,45,209,36,251,43,185,32,308,53,272,47,198,34,322,56,288,50,239,41,300,52,215,37,356,61,160,28,241,42,331,57
"CO","Colorado","San Miguel County, Colorado",8113,5462,2542,47,1550,28,3844,70,1595,29,4122,75,1305,24,3474,64,1996,37,4412,81,948,17,3823,70,800,15,2838,52,1701,31,2835,52,1662,30,3159,58,2304,42,1925,35,3135,57,2917,53,2160,40,3127,57,1845,34,3592,66,1329,24,2449,45,2964,54
"CO","Colorado","Sedgwick County, Colorado",8115,1694,852,50,344,20,1073,63,615,36,1205,71,485,29,947,56,744,44,1285,76,371,22,1072,63,273,16,755,45,626,37,701,41,538,32,884,52,812,48,566,33,928,55,832,49,677,40,851,50,615,36,1021,60,455,27,702,41,969,57
"CO","Colorado","Summit County, Colorado",8117,20341,9816,48,5329,26,13913,68,6351,31,15009,74,5219,26,12482,61,7918,39,16212,80,3753,18,13955,69,3093,15,10106,50,6672,33,10081,50,6358,31,11399,56,8958,44,7038,35,11709,58,10578,52,8243,41,11286,55,7140,35,13118,64,5161,25,8849,44,11313,56
"CO","Colorado","Teller County, Colorado",8119,17189,7748,45,4533,26,11630,68,5355,31,13037,76,4045,24,10652,62,6461,38,13629,79,3317,19,11111,65,3048,18,8411,49,5863,34,7518,44,5949,35,9057,53,8134,47,5637,33,9975,58,8705,51,6992,41,9081,53,6309,37,10770,63,4411,26,7119,41,9972,58
"CO","Colorado","Washington County, Colorado",8121,3375,1612,48,747,22,2090,62,1263,37,2417,72,953,28,1908,57,1463,43,2562,76,759,22,2069,61,612,18,1484,44,1272,38,1333,39,1153,34,1681,50,1696,50,1064,32,1928,57,1614,48,1409,42,1651,49,1301,39,2008,60,944,28,1336,40,1999,59
"CO","Colorado","Weld County, Colorado",8123,155571,70632,45,37412,24,100208,64,52880,34,115208,74,39196,25,94267,61,59797,38,119056,77,34021,22,93884,60,27266,18,69947,45,54121,35,61419,39,53997,35,81037,52,74358,48,54177,35,83747,54,79722,51,59163,38,81144,52,53608,34,94957,61,38458,25,63354,41,90955,58
"CO","Colorado","Yuma County, Colorado",8125,6709,3339,50,1377,21,4188,62,2486,37,4771,71,1917,29,3754,56,2942,44,5075,76,1503,22,4192,62,1134,17,2972,44,2500,37,2701,40,2201,33,3442,51,3272,49,2221,33,3701,55,3272,49,2704,40,3341,50,2483,37,4024,60,1821,27,2732,41,3893,58
"CT","Connecticut","Fairfield County, Connecticut",9001,619381,294752,48,148538,24,431644,70,175397,28,483038,78,125624,20,410529,66,202058,33,500541,81,111350,18,419969,68,83772,14,353055,57,167031,27,286901,46,180762,29,370647,60,246061,40,230782,37,329546,53,342176,55,212422,34,359360,58,182564,29,424499,69,117080,19,280788,45,331461,54
"CT","Connecticut","Hartford County, Connecticut",9003,610975,279901,46,146482,24,420885,69,169159,28,472693,77,127042,21,398280,65,204473,33,480329,79,116527,19,387266,63,87883,14,280980,46,208546,34,260310,43,199930,33,341220,56,265408,43,220927,36,333943,55,331525,54,219965,36,341279,56,201702,33,404674,66,135299,22,259794,43,344455,56
"CT","Connecticut","Litchfield County, Connecticut",9005,135759,59369,44,35908,26,93936,69,37836,28,107306,79,26694,20,90738,67,43478,32,108590,80,25706,19,88368,65,23784,18,71063,52,42748,31,58401,43,46697,34,74283,55,61156,45,44636,33,79797,59,70872,52,52399,39,73902,54,47351,35,89914,66,30182,22,56404,42,78780,58
"CT","Connecticut","Middlesex County, Connecticut",9007,117863,52318,44,30823,26,80029,68,34610,29,93098,79,23398,20,77846,66,39026,33,94623,80,22514,19,75619,64,20354,17,57599,49,40122,34,50882,43,40580,34,63546,54,53993,46,38958,33,69162,59,61365,52,46649,40,63834,54,42216,36,76582,65,27574,23,48948,42,68358,58
"CT","Connecticut","New Haven County, Connecticut",9009,583906,271656,47,135436,23,394568,68,168327,29,453224,78,118624,20,377037,65,200341,34,461727,79,114348,20,391527,67,81937,14,274617,47,212600,36,253650,43,182051,31,324312,56,258501,44,207096,35,315236,54,311594,53,205736,35,319975,55,177921,30,388412,67,110685,19,255023,44,326005,56
"CT","Connecticut","New London County, Connecticut",9011,187542,85457,46,46314,25,128108,68,55318,29,145193,77,39650,21,123079,66,62578,33,149181,80,35753,19,113718,61,34087,18,86192,46,66719,36,80092,43,60392,32,103200,55,83759,45,65031,35,105825,56,99958,53,71286,38,102985,55,65180,35,119345,64,45686,24,79113,42,107030,57
"CT","Connecticut","Tolland County, Connecticut",9013,96665,43100,45,25290,26,65208,67,29237,30,76401,79,19194,20,63759,66,32203,33,77832,81,18321,19,60803,63,15953,17,50662,52,30496,32,41609,43,33142,34,52556,54,43455,45,31614,33,57363,59,50063,52,38730,40,52143,54,35116,36,63159,65,22364,23,39550,41,56328,58
"CT","Connecticut","Windham County, Connecticut",9015,79249,36219,46,18180,23,50547,64,27004,34,61296,77,17221,22,49439,62,29220,37,61815,78,16901,21,45111,57,13714,17,35836,45,29411,37,29098,37,28031,35,39611,50,39339,50,25335,32,45841,58,39640,50,31642,40,40144,51,30785,39,49160,62,20581,26,30897,39,47626,60
"DE","Delaware","Kent County, Delaware",10001,104474,48476,46,23160,22,68061,65,33122,32,80618,77,22163,21,65091,62,37446,36,81393,78,21019,20,66217,63,15250,15,46399,44,36192,35,42303,40,32149,31,55035,53,49051,47,36786,35,54336,52,55173,53,35482,34,55514,53,32955,32,65694,63,21846,21,44380,42,59026,56
"DE","Delaware","New Castle County, Delaware",10003,356060,167140,47,82648,23,240205,67,104119,29,283094,80,69123,19,224500,63,126557,36,286930,81,66636,19,224137,63,51851,15,169430,48,133753,38,156573,44,106413,30,207120,58,149120,42,129867,36,182565,51,192795,54,117175,33,200051,56,102731,29,235071,66,73435,21,166214,47,188693,53
"DE","Delaware","Sussex County, Delaware",10005,142797,61960,43,37171,26,98402,69,40222,28,114006,80,26512,19,94890,66,44778,31,113189,79,25935,18,92947,65,20675,14,72869,51,46467,33,63184,44,43105,30,83620,59,58686,41,52795,37,73927,52,79690,56,47032,33,81594,57,42047,29,94638,66,28540,20,65034,46,76496,54
"DC","District of Columbia","District of Columbia, District of Columbia",11001,417432,237845,57,77794,19,356395,85,47538,11,367893,88,40199,10,320259,77,88487,21,360070,86,42298,10,352680,84,16447,4,271471,65,90343,22,273802,66,65742,16,308990,74,107589,26,209447,50,173147,41,290892,70,86266,21,305460,73,66446,16,343843,82,35940,9,246420,59,163747,39
"FL","Florida","Alachua County, Florida",12001,145621,65340,45,38276,26,93753,64,49780,34,109908,75,34305,24,90317,62,54443,37,114559,79,28993,20,97477,67,22323,15,77158,53,45892,32,66982,46,44915,31,81934,56,64438,44,52872,36,79620,55,77028,53,53423,37,79816,55,48163,33,92797,64,33338,23,64935,45,79578,55
"FL","Florida","Baker County, Florida",12003,17366,7889,45,3644,21,9139,53,7966,46,12120,70,5205,30,9149,53,8104,47,12550,72,4742,27,9344,54,3705,21,6854,39,7355,42,5250,30,6463,37,7399,43,10061,58,4959,29,10203,59,7598,44,7398,43,7357,42,7414,43,9278,53,5283,30,6234,36,10965,63
"FL","Florida","Bay County, Florida",12005,115548,49341,43,29932,26,68536,59,45528,39,86220,75,28731,25,69478,60,44924,39,88593,77,25945,22,71816,62,20706,18,55359,48,40286,35,46419,40,40298,35,57471,50,58549,51,37620,33,67180,58,56911,49,46201,40,57160,49,45172,39,69492,60,29289,25,46878,41,67357,58
"FL","Florida","Bradford County, Florida",12007,20300,9027,44,4556,22,11547,57,8518,42,14287,70,5809,29,11319,56,8767,43,14745,73,5115,25,11046,54,4356,21,8245,41,8096,40,6943,34,6853,34,9301,46,11068,55,6401,32,11342,56,9584,47,8056,40,9340,46,8067,40,11002,54,6070,30,7897,39,12206,60
"FL","Florida","Brevard County, Florida",12009,393540,168846,43,103654,26,235134,60,153040,39,294253,75,95481,24,238506,61,150365,38,303034,77,86492,22,242476,62,79189,20,193241,49,127463,32,150875,38,143569,36,194784,49,198424,50,128404,33,227992,58,194485,49,159975,41,196925,50,152238,39,233516,59,107094,27,158070,40,230317,59
"FL","Florida","Broward County, Florida",12011,1220643,527023,43,317219,26,836811,69,358067,29,978963,80,226200,19,816308,67,375737,31,975058,80,226256,19,808424,66,178691,15,689784,57,371046,30,540606,44,349995,29,731102,60,488798,40,503108,41,598219,49,699238,57,387052,32,712881,58,354983,29,794506,65,262186,21,597695,49,614977,50
"FL","Florida","Calhoun County, Florida",12013,10378,4722,45,2171,21,5449,53,4781,46,7149,69,3184,31,5441,52,4861,47,7388,71,2887,28,5423,52,2182,21,3996,39,4396,42,3077,30,3823,37,4370,42,6058,58,2987,29,6019,58,4554,44,4333,42,4386,42,4323,42,5449,53,3056,29,3685,36,6597,64
"FL","Florida","Charlotte County, Florida",12015,128612,56338,44,32637,25,76094,59,51214,40,95614,74,31862,25,76088,59,51167,40,97506,76,29007,23,78597,61,25260,20,59135,46,47461,37,48936,38,47002,37,62099,48,67046,52,40288,31,77317,60,61905,48,54715,43,62510,49,51737,40,75120,58,37025,29,51021,40,76996,60
"FL","Florida","Citrus County, Florida",12017,110425,43518,39,30075,27,61145,55,47493,43,82514,75,27818,25,65677,59,43456,39,82956,75,27072,25,68180,62,20988,19,54435,49,38617,35,41069,37,38157,35,56892,52,53905,49,36484,33,62301,56,54572,49,43374,39,54264,49,42142,38,66462,60,28395,26,45541,41,63586,58
"FL","Florida","Clay County, Florida",12019,124825,56261,45,29852,24,70630,57,52726,42,89212,71,34957,28,71271,57,52929,42,94313,76,29730,24,72883,58,26004,21,52979,42,48817,39,43674,35,46840,38,59228,47,66318,53,38470,31,74618,60,58517,47,53315,43,58854,47,51466,41,71983,58,35830,29,47805,38,76506,61
"FL","Florida","Collier County, Florida",12021,238278,108736,46,59656,25,149226,63,85564,36,178575,75,57825,24,144551,61,91325,38,185681,78,50001,21,150186,63,42210,18,118780,50,76220,32,100360,42,79405,33,127221,53,111998,47,83626,35,133731,56,122515,51,91898,39,125541,53,84506,35,146140,61,59583,25,102451,43,134475,56
"FL","Florida","Columbia County, Florida",12023,45605,19825,43,10841,24,26708,59,18073,40,33620,74,11611,25,26473,58,18497,41,34374,75,10769,24,26379,58,8715,19,20190,44,16975,37,16333,36,15993,35,22068,48,23746,52,14612,32,25740,56,21945,48,17953,39,21752,48,17447,38,26320,58,12123,27,18016,40,27240,60
"FL","Florida","DeSoto County, Florida",12027,23020,11152,48,4831,21,14557,63,8236,36,16723,73,6036,26,13283,58,9412,41,17434,76,5000,22,14785,64,3329,14,11027,48,7739,34,9729,42,6505,28,12770,55,10340,45,8547,37,11723,51,12045,52,8006,35,12061,52,7485,33,13766,60,5641,25,10321,45,12377,54
"FL","Florida","Dixie County, Florida",12029,11396,5136,45,2488,22,5997,53,5226,46,7943,70,3452,30,6009,53,5327,47,8281,73,3086,27,6057,53,2629,23,4473,39,4829,42,3427,30,4451,39,4792,42,6668,59,3139,28,6961,61,4903,43,5088,45,4771,42,5098,45,6095,53,3613,32,3959,35,7347,64
"FL","Florida","Duval County, Florida",12031,571649,250365,44,138437,24,346759,61,216077,38,427874,75,138879,24,345295,60,222132,39,437218,76,127240,22,357752,63,103482,18,235773,41,221163,39,218309,38,186212,33,293225,51,280334,49,204814,36,303033,53,295257,52,209668,37,296779,52,201004,35,337247,59,157258,28,248946,44,319483,56
"FL","Florida","Escambia County, Florida",12033,195863,84968,43,49626,25,121471,62,69872,36,147824,75,46487,24,119992,61,73004,37,152396,78,40954,21,121768,62,33170,17,89186,46,73261,37,79690,41,61903,32,103719,53,92568,47,71348,36,104556,53,103111,53,70723,36,103479,53,68357,35,115958,59,49418,25,87453,45,106631,54
"FL","Florida","Flagler County, Florida",12035,70826,30306,43,18597,26,44447,63,24958,35,54405,77,15915,22,43972,62,25922,37,55536,78,14836,21,46447,66,12257,17,37358,53,23075,33,29759,42,24059,34,37858,53,33338,47,24066,34,40168,57,36019,51,27705,39,36575,52,26145,37,44427,63,16626,23,30475,43,40141,57
"FL","Florida","Franklin County, Florida",12037,8894,4013,45,2133,24,5453,61,3322,37,6525,73,2298,26,5184,58,3611,41,6766,76,1982,22,5490,62,1508,17,4134,46,3210,36,3530,40,2853,32,4537,51,4398,49,2946,33,4967,56,4390,49,3437,39,4413,50,3246,36,5213,59,2321,26,3695,42,5109,57
"FL","Florida","Gadsden County, Florida",12039,31683,14432,46,6366,20,19681,62,11519,36,23782,75,7257,23,19041,60,11989,38,23943,76,7020,22,20175,64,3680,12,15445,49,10984,35,12503,39,8321,26,17055,54,14716,46,12452,39,14070,44,17014,54,9271,29,16639,53,8853,28,18749,59,6315,20,14905,47,16370,52
"FL","Florida","Gilchrist County, Florida",12041,11292,5062,45,2551,23,6165,55,4967,44,8010,71,3268,29,6139,54,5087,45,8329,74,2908,26,6236,55,2484,22,4657,41,4587,41,3634,32,4304,38,5003,44,6349,56,3241,29,6832,61,5037,45,4929,44,4951,44,4880,43,6221,55,3447,31,4086,36,7115,63
"FL","Florida","Glades County, Florida",12043,9429,4529,48,1966,21,5713,61,3619,38,6787,72,2562,27,5314,56,4008,43,7072,75,2162,23,5895,63,1465,16,4337,46,3414,36,3739,40,2853,30,4947,52,4526,48,3298,35,5003,53,4730,50,3479,37,4721,50,3283,35,5529,59,2407,26,4033,43,5276,56
"FL","Florida","Gulf County, Florida",12045,11869,5431,46,2565,22,6297,53,5379,45,8238,69,3581,30,6290,53,5505,46,8610,73,3204,27,6506,55,2476,21,4717,40,4974,42,3725,31,4354,37,5107,43,6826,58,3463,29,6934,58,5242,44,5040,42,5125,43,5010,42,6397,54,3570,30,4296,36,7472,63
"FL","Florida","Hamilton County, Florida",12047,9915,4417,45,2102,21,5631,57,4093,41,7171,72,2627,26,5571,56,4184,42,7250,73,2525,25,5765,58,1658,17,4315,44,3836,39,3374,34,3136,32,4743,48,5210,53,3326,34,5108,52,4797,48,3550,36,4656,47,3506,35,5537,56,2512,25,4054,41,5743,58
"FL","Florida","Hardee County, Florida",12049,16756,8379,50,3126,19,9720,58,6918,41,11687,70,4927,29,9040,54,7503,45,12183,73,4134,25,10476,63,2421,14,7599,45,6014,36,6578,39,4668,28,9109,54,7716,46,6227,37,8272,49,8548,51,5797,35,8436,50,5513,33,9778,58,4207,25,7332,44,9125,54
"FL","Florida","Hendry County, Florida",12051,23475,11156,48,5105,22,16699,71,6445,27,18256,78,4754,20,15060,64,7767,33,18329,78,4287,18,16735,71,2444,10,13453,57,6418,27,11706,50,5388,23,15300,65,8213,35,10647,45,10029,43,14110,60,6263,27,14228,61,5581,24,15316,65,4235,18,12323,52,10842,46
"FL","Florida","Hernando County, Florida",12053,127296,55399,44,31195,25,75045,59,49960,39,94494,74,32203,25,74479,59,51322,40,97410,77,29308,23,73584,58,27058,21,53444,42,51548,40,45383,36,46481,37,61283,48,66480,52,40578,32,74517,59,61464,48,52406,41,61540,48,50617,40,74345,58,36523,29,50434,40,76132,60
"FL","Florida","Highlands County, Florida",12055,74170,33006,45,17823,24,46202,62,26977,36,54731,74,18375,25,44118,59,28987,39,56615,76,16037,22,47576,64,12232,16,36493,49,26128,35,30306,41,24334,33,39237,53,35245,48,25625,35,40727,55,37807,51,27664,37,38066,51,26248,35,44986,61,18016,24,31797,43,41878,56
"FL","Florida","Hillsborough County, Florida",12057,815442,358965,44,204982,25,498772,61,312187,38,630084,77,180522,22,508523,62,298261,37,634878,78,172354,21,538265,66,131675,16,383618,47,278669,34,336208,41,261344,32,448798,55,369167,45,307103,38,430478,53,437273,54,290344,36,444420,55,268728,33,508750,62,199653,24,356845,44,454501,56
"FL","Florida","Holmes County, Florida",12059,14064,6248,44,3244,23,7963,57,5866,42,10091,72,3937,28,7761,55,6195,44,10452,74,3517,25,7847,56,2904,21,5896,42,5652,40,4714,34,5111,36,6411,46,7721,55,4165,30,8348,59,6433,46,5918,42,6335,45,5899,42,7886,56,4099,29,5236,37,8697,62
"FL","Florida","Indian River County, Florida",12061,103050,43297,42,28438,28,65942,64,35118,34,78496,76,23504,23,64527,63,37251,36,81115,79,20929,20,65663,64,18964,18,51659,50,35142,34,42013,41,36062,35,53291,52,50017,49,35110,34,59249,57,53004,51,39977,39,53895,52,37947,37,63649,62,25621,25,42873,42,59601,58
"FL","Florida","Jackson County, Florida",12063,35245,15448,44,7994,23,19855,56,14700,42,25432,72,9295,26,19873,56,14844,42,25584,73,8981,25,20336,58,6711,19,15017,43,14146,40,11890,34,12180,35,16306,46,19083,54,11294,32,19295,55,16712,47,13571,39,16399,47,13394,38,19825,56,9554,27,13829,39,21109,60
"FL","Florida","Jefferson County, Florida",12065,10705,4488,42,2711,25,7128,67,3356,31,8368,78,2163,20,6871,64,3600,34,8359,78,2122,20,7078,66,1460,14,5650,53,3393,32,4663,44,3024,28,6050,57,4683,44,4119,38,5221,49,5863,55,3392,32,5877,55,3156,29,6642,62,2206,21,5075,47,5531,52
"FL","Florida","Lafayette County, Florida",12067,5692,2724,48,1186,21,3191,56,2441,43,3989,70,1683,30,3059,54,2600,46,4207,74,1421,25,3284,58,1040,18,2341,41,2319,41,1997,35,1950,34,2650,47,3073,54,1766,31,3262,57,2620,46,2360,41,2595,46,2294,40,3157,55,1682,30,2191,38,3439,60
"FL","Florida","Lake County, Florida",12069,216443,94667,44,54403,25,135768,63,75633,35,165514,76,50114,23,133215,62,79994,37,169796,78,46242,21,140274,65,36995,17,114145,53,68281,32,82335,38,78028,36,114336,53,103394,48,72245,33,125568,58,108290,50,85859,40,109816,51,81228,38,135309,63,52015,24,86854,40,127711,59
"FL","Florida","Lee County, Florida",12071,454454,197431,43,121036,27,300200,66,145627,32,346770,76,104055,23,286069,63,162395,36,360292,79,89289,20,293486,65,78863,17,226342,50,142272,31,196772,43,149792,33,254290,56,201962,44,164466,36,251879,55,241587,53,171996,38,245918,54,158189,35,281799,62,115689,25,199616,44,252104,55
"FL","Florida","Leon County, Florida",12073,159386,69602,44,41813,26,97691,61,59930,38,121341,76,36505,23,98328,62,59764,37,123783,78,33745,21,98982,62,26937,17,75644,47,55715,35,66421,42,52510,33,83851,53,76250,48,56018,35,87713,55,82277,52,59518,37,84422,53,55437,35,100091,63,37210,23,68941,43,89793,56
"FL","Florida","Levy County, Florida",12075,28842,12846,45,6913,24,18257,63,10112,35,21690,75,6949,24,17116,59,11408,40,22226,77,6088,21,17962,62,4758,16,13681,47,10170,35,11443,40,9397,33,15073,52,13882,48,9799,34,16042,56,14581,51,10787,37,14613,51,10019,35,17259,60,6982,24,12135,42,16414,57
"FL","Florida","Liberty County, Florida",12077,5638,2642,47,1198,21,3094,55,2466,44,3916,69,1702,30,2987,53,2612,46,4104,73,1483,26,3218,57,1077,19,2349,42,2276,40,1873,33,1951,35,2518,45,3150,56,1682,30,3242,58,2535,45,2327,41,2497,44,2272,40,3085,55,1641,29,2117,38,3464,61
"FL","Florida","Madison County, Florida",12079,13266,6356,48,2492,19,7297,55,5855,44,9233,70,3898,29,7141,54,5997,45,9624,73,3417,26,7889,59,2012,15,5266,40,5609,42,4611,35,4059,31,6235,47,7088,53,4459,34,6831,51,6326,48,4907,37,6132,46,4894,37,7244,55,3734,28,5469,41,7613,57
"FL","Florida","Manatee County, Florida",12081,235332,99362,42,64194,27,149954,64,81175,34,182485,78,51132,22,147649,63,84632,36,185423,79,47838,20,156350,66,39672,17,120930,51,78713,33,97604,41,79429,34,124884,53,111028,47,82636,35,132097,56,122858,52,89998,38,125114,53,84615,36,145217,62,58592,25,101796,43,132206,56
"FL","Florida","Marion County, Florida",12083,243732,107881,44,58309,24,145715,60,94420,39,181055,74,61304,25,144543,59,96553,40,187065,77,54983,23,149215,61,48221,20,113666,47,90517,37,84995,35,87101,36,118705,49,125844,52,80091,33,140089,57,119732,49,100937,41,118904,49,98449,40,140511,58,72178,30,97152,40,144814,59
"FL","Florida","Martin County, Florida",12085,111362,47190,42,29636,27,62499,56,47599,43,81803,73,28730,26,65579,59,44921,40,84061,75,26207,24,68637,62,21276,19,49593,45,42700,38,43253,39,38913,35,55772,50,55984,50,36496,33,64574,58,54565,49,45057,40,54867,49,43301,39,66500,60,29309,26,44427,40,65473,59
"FL","Florida","Miami-Dade County, Florida",12086,1724591,827058,48,357269,21,1157002,67,524141,30,1296911,75,381625,22,1086999,63,593931,34,1307092,76,364523,21,1236099,72,208048,12,981431,57,491018,28,801585,46,461350,27,1056447,61,669399,39,791925,46,716335,42,1026681,60,437608,25,1033585,60,418860,24,1111801,64,293264,17,880266,51,842537,49
"FL","Florida","Monroe County, Florida",12087,56994,25369,45,16061,28,40389,71,16012,28,44578,78,11688,21,37548,66,18491,32,45520,80,9551,17,40619,71,7731,14,31274,55,15989,28,29072,51,16053,28,35192,62,21959,39,22788,40,30139,53,32587,57,19560,34,33852,59,17074,30,37092,65,12289,22,27669,49,28845,51
"FL","Florida","Nassau County, Florida",12089,51623,22070,43,13562,26,30566,59,20648,40,38680,75,12657,25,30886,60,20291,39,39639,77,11436,22,31870,62,9854,19,25001,48,18095,35,20320,39,18254,35,26105,51,25766,50,16519,32,30365,59,25287,49,20957,41,25627,50,19844,38,30937,60,13663,26,20819,40,30458,59
"FL","Florida","Okaloosa County, Florida",12091,123370,54659,44,31200,25,71491,58,50276,41,89556,73,33152,27,72137,58,50494,41,94857,77,28164,23,75447,61,24211,20,57296,46,45953,37,45437,37,46680,38,59795,48,64226,52,38647,31,74415,60,58920,48,52464,43,59848,49,49398,40,74317,60,32892,27,47599,39,75226,61
"FL","Florida","Okeechobee County, Florida",12093,26397,11472,43,6715,25,18294,69,7684,29,20598,78,5432,21,16905,64,8917,34,20671,78,4972,19,17353,66,3915,15,14394,55,7689,29,12009,45,7442,28,15715,60,10752,41,10284,39,13297,50,14745,56,8596,33,14879,56,7841,30,16469,62,5969,23,12585,48,13549,51
"FL","Florida","Orange County, Florida",12095,736726,319746,43,190548,26,492155,67,229075,31,563764,77,163244,22,469556,64,256541,35,583940,79,144357,20,452909,61,128221,17,367659,50,250256,34,306303,42,219527,30,400940,54,335835,46,295592,40,373170,51,413822,56,249581,34,417970,57,241609,33,456421,62,174447,24,342714,47,391672,53
"FL","Florida","Osceola County, Florida",12097,174283,81542,47,37484,22,106765,61,61775,35,126192,72,44396,25,103977,60,66932,38,127600,73,40766,23,111529,64,27461,16,90654,52,52818,30,66290,38,56101,32,95971,55,78804,45,67936,39,87002,50,93363,54,58964,34,92502,53,57778,33,106053,61,39821,23,76397,44,96865,56
"FL","Florida","Palm Beach County, Florida",12099,948582,422450,45,239888,25,573978,61,373034,39,709824,75,228433,24,580531,61,357787,38,740473,78,198368,21,649158,68,145154,15,452871,48,350178,37,400498,42,306373,32,506869,53,445673,47,339330,36,511141,54,493900,52,352134,37,497411,52,315656,33,579589,61,199328,21,401157,42,539914,57
"FL","Florida","Pasco County, Florida",12101,334461,144448,43,85724,26,200804,60,130336,39,253445,76,80313,24,201278,60,130025,39,261329,78,72860,22,214000,64,65134,19,166238,50,113801,34,136160,41,115998,35,172497,52,163669,49,109680,33,193192,58,165761,50,135108,40,167615,50,128257,38,197887,59,92043,28,140255,42,193594,58
"FL","Florida","Pinellas County, Florida",12103,687614,283067,41,198415,29,461865,67,213597,31,533492,78,144917,21,446105,65,227901,33,544547,79,131227,19,451895,66,109163,16,346629,50,233856,34,316566,46,217687,32,373275,54,313244,46,246203,36,378535,55,368697,54,253300,37,379187,55,232712,34,451853,66,141230,21,307432,45,375015,55
